age,edu,edunumber,gender,gov,marriage,occupation,relation,skin,workhour,income
39,1,13,1,6,3,0,4,1,40,0
50,1,13,1,2,1,5,3,1,13,0
38,4,0,1,1,2,7,4,1,40,0
53,3,7,1,1,1,7,3,5,40,0
28,1,13,2,1,1,6,1,5,40,0
37,12,14,2,1,1,5,1,1,40,0
49,0,5,2,1,6,3,4,5,16,0
52,4,0,1,2,1,5,3,1,45,1
31,12,14,2,1,3,6,4,1,50,1
42,1,13,1,1,1,5,3,1,40,1
37,2,10,1,1,1,5,3,5,80,1
30,1,13,1,6,1,6,3,2,40,1
23,1,13,2,1,3,0,2,1,30,0
32,7,12,1,1,3,4,4,5,50,0
40,8,11,1,1,1,2,3,2,40,1
34,10,4,1,1,1,0,3,3,45,0
25,4,0,1,2,3,0,2,1,35,0
32,4,0,1,1,3,8,6,1,40,0
38,3,7,1,1,1,4,3,1,50,0
43,12,14,2,2,2,5,6,1,45,1
40,15,16,1,1,1,6,3,1,60,1
54,4,0,2,1,4,3,6,5,20,0
35,0,5,1,4,1,0,3,5,40,0
43,3,7,1,1,1,0,3,1,40,0
59,4,0,2,1,2,1,6,1,40,0
56,1,13,1,5,1,1,3,1,40,1
19,4,0,1,1,3,2,2,1,40,0
54,2,10,1,0,1,0,3,2,60,1
39,4,0,1,1,2,5,4,1,80,0
49,4,0,1,1,1,2,3,1,40,0
23,7,12,1,5,3,0,4,1,52,0
20,2,10,1,1,3,4,2,5,44,0
45,1,13,1,1,2,5,2,1,40,0
30,2,10,1,4,1,0,2,1,40,0
22,2,10,1,6,1,3,3,5,15,0
48,3,7,1,1,3,8,6,1,40,0
21,2,10,1,1,3,8,2,1,40,0
19,4,0,2,1,7,0,1,1,25,0
31,2,10,1,1,1,4,3,1,38,1
48,7,12,1,2,1,6,3,1,40,0
31,0,5,1,1,1,8,3,1,43,0
53,1,13,1,2,1,6,3,1,40,0
24,1,13,1,1,1,1,3,1,50,0
49,4,0,2,1,4,0,6,1,40,0
25,4,0,1,1,3,7,4,1,35,0
57,1,13,1,4,1,6,3,5,40,1
53,4,0,1,1,1,8,3,1,38,0
44,12,14,2,1,2,5,6,1,40,0
41,8,11,1,6,1,2,3,1,40,0
29,8,11,1,1,3,6,4,1,43,0
25,2,10,2,1,1,5,1,4,40,0
18,4,0,2,1,3,3,2,1,30,0
47,5,15,2,1,1,6,1,1,60,1
50,1,13,1,4,2,5,4,1,55,1
47,4,0,1,3,2,5,4,1,60,0
43,2,10,1,1,1,1,3,1,40,1
46,16,3,1,1,1,8,3,1,40,0
35,8,11,1,1,1,3,3,1,40,0
41,4,0,1,1,1,0,3,1,48,0
30,4,0,1,1,1,8,3,1,40,0
30,1,13,1,1,1,4,3,1,40,0
32,10,4,1,0,6,0,4,1,40,0
48,4,0,1,1,1,0,3,1,40,0
42,15,16,1,1,1,6,3,1,45,1
29,2,10,1,1,2,1,4,1,58,0
36,4,0,1,1,1,2,3,1,40,0
28,2,10,2,1,2,0,4,1,40,0
53,4,0,2,1,1,0,1,1,40,1
49,2,10,1,3,1,5,3,1,50,1
25,2,10,1,0,3,0,2,1,40,0
19,2,10,1,1,3,6,2,1,32,0
31,1,13,2,1,4,4,2,5,40,0
29,1,13,1,2,1,4,3,1,70,1
23,2,10,1,1,3,8,4,1,40,0
79,2,10,1,1,1,6,5,1,20,0
27,4,0,1,1,3,3,2,1,40,0
40,7,12,1,1,1,0,3,1,40,0
67,14,6,1,0,1,0,3,1,2,0
18,3,7,2,1,3,3,2,1,22,0
31,10,4,1,5,1,0,3,1,40,0
18,4,0,1,1,3,4,4,1,30,0
52,1,13,1,1,1,3,3,1,40,0
46,4,0,2,1,1,3,1,1,40,0
59,4,0,1,1,1,4,3,1,48,0
44,4,0,2,1,2,2,4,1,40,1
53,4,0,2,1,2,4,2,1,35,0
49,4,0,1,5,1,0,3,1,40,1
33,12,14,1,1,1,6,3,1,50,0
30,0,5,1,1,3,4,4,1,40,0
43,15,16,2,4,3,6,4,1,50,1
57,8,11,1,1,1,6,3,1,40,0
37,2,10,2,1,2,2,6,1,40,0
28,2,10,2,1,2,8,6,5,25,0
30,4,0,2,1,1,4,1,2,35,0
34,1,13,1,5,1,0,3,1,40,1
29,2,10,1,5,3,7,4,1,50,0
48,15,16,1,2,1,6,3,1,60,1
37,2,10,1,1,1,4,3,1,48,1
48,7,12,2,1,2,5,6,1,40,0
32,4,0,1,4,3,3,2,5,40,0
76,12,14,1,1,1,5,3,1,40,1
44,1,13,1,1,1,5,3,1,60,1
47,12,14,2,2,3,6,4,1,50,0
20,2,10,2,1,3,1,2,1,40,0
29,4,0,1,1,3,2,4,1,40,0
32,4,0,1,3,1,2,3,1,40,1
17,14,6,2,0,3,0,2,1,32,0
30,3,7,1,1,3,7,2,1,40,0
31,4,0,2,5,3,0,4,1,40,0
42,4,0,1,1,1,7,3,1,40,0
24,1,13,1,1,3,4,5,1,40,0
38,5,15,1,1,1,6,3,1,40,1
56,4,0,1,2,1,3,3,1,50,1
28,2,10,2,1,1,4,1,1,25,0
36,4,0,2,1,3,8,2,1,40,0
53,0,5,1,1,1,7,3,1,50,0
56,2,10,1,3,1,4,3,1,50,0
49,8,11,1,5,1,2,3,5,40,1
55,2,10,1,1,1,4,3,1,56,0
22,4,0,1,1,3,2,4,1,41,0
21,2,10,2,1,3,3,2,1,40,0
40,1,13,1,1,1,5,3,1,60,0
30,1,13,1,1,3,5,2,5,40,0
29,1,13,1,6,1,6,3,1,50,1
19,2,10,1,1,3,3,2,5,35,0
47,1,13,2,1,1,5,1,1,40,1
20,2,10,2,1,3,0,2,1,28,0
31,7,12,1,1,1,0,3,1,40,1
35,4,0,1,0,1,0,3,1,40,0
39,2,10,1,1,2,2,4,1,40,0
28,7,12,2,1,3,4,4,1,60,0
24,4,0,2,1,3,3,4,1,40,0
38,4,0,1,2,1,2,3,1,35,0
37,1,13,1,1,1,4,3,1,50,0
46,7,12,2,1,2,1,4,5,36,0
38,12,14,1,4,1,6,3,1,40,1
43,4,0,1,2,1,2,3,1,60,0
27,8,11,2,1,1,0,1,1,35,0
20,2,10,1,1,3,4,2,1,20,0
49,2,10,1,1,1,2,3,2,40,1
61,4,0,1,3,1,2,3,1,40,0
27,2,10,2,1,3,4,2,1,40,0
19,2,10,1,1,3,3,2,1,30,0
45,8,11,2,1,3,6,4,1,40,1
70,2,10,1,1,3,1,5,1,40,0
31,4,0,2,1,3,0,6,5,30,0
22,2,10,1,1,1,3,3,1,24,0
36,4,0,2,1,5,3,6,1,24,0
64,3,7,1,1,1,2,3,1,40,0
43,2,10,2,0,2,0,4,1,40,0
47,2,10,2,5,2,0,6,1,38,0
34,4,0,2,1,3,0,4,1,40,0
33,1,13,2,1,3,5,5,2,40,0
21,4,0,1,1,3,2,2,1,35,0
52,4,0,1,0,2,0,4,1,45,1
48,4,0,1,1,1,2,3,1,46,0
23,1,13,1,1,3,7,4,1,40,0
71,2,10,1,2,4,4,6,5,2,0
29,4,0,1,1,2,2,4,1,60,0
42,1,13,1,1,4,3,5,5,50,0
68,13,2,2,0,2,0,4,1,20,0
25,4,0,2,1,3,3,6,1,40,0
44,12,14,2,3,2,5,6,2,40,0
28,4,0,2,1,3,5,4,2,40,0
45,12,14,1,2,1,4,3,1,40,1
36,2,10,2,1,2,3,6,1,40,0
39,7,12,1,4,3,5,4,1,42,0
46,12,14,1,6,5,0,6,1,40,0
18,3,7,1,1,3,7,2,1,16,0
66,8,11,2,5,5,6,4,1,20,0
27,4,0,1,1,3,3,4,1,40,0
28,4,0,1,6,1,0,3,1,40,0
51,2,10,1,1,1,4,3,1,40,1
27,1,13,1,1,3,2,4,1,50,0
28,1,13,1,6,1,6,3,1,40,1
27,4,0,2,1,6,4,6,1,25,0
21,4,0,1,1,3,2,2,5,40,0
34,4,0,1,1,3,7,4,5,40,0
18,4,0,1,1,3,3,2,1,12,0
33,1,13,1,1,1,6,3,1,65,0
44,2,10,1,5,1,5,3,5,38,1
43,2,10,2,1,2,0,4,1,40,0
30,2,10,1,1,3,2,4,5,45,0
40,10,4,1,1,1,8,3,1,40,1
37,2,10,1,4,1,0,3,1,42,1
34,4,0,1,1,1,0,3,5,40,0
41,1,13,2,2,2,5,4,1,40,0
53,1,13,2,0,2,0,4,1,50,0
31,12,14,2,1,1,6,1,1,50,0
58,15,16,1,6,1,6,3,1,1,1
38,2,10,2,1,2,8,4,5,28,0
24,2,10,1,1,1,8,3,1,40,0
41,1,13,1,5,1,2,3,5,40,0
47,2,10,1,1,1,1,3,1,45,0
41,1,13,1,4,1,1,3,1,24,0
23,16,3,1,1,1,0,5,1,40,0
36,2,10,1,1,2,2,4,1,40,0
40,12,14,2,4,3,5,4,1,55,1
35,12,14,1,1,1,6,5,1,40,1
24,4,0,1,2,3,4,4,1,40,0
26,12,14,2,1,3,6,4,1,40,0
19,4,0,1,0,3,0,2,1,40,0
